cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
       Step     Time          Energy          fmax
LBFGS:    0 10:58:55      -40.455609        0.267577
LBFGS:    1 10:58:56      -40.457867        0.250816
LBFGS:    2 10:58:56      -40.479449        0.197020
LBFGS:    3 10:58:56      -40.481297        0.190014
LBFGS:    4 10:58:56      -40.493467        0.161202
LBFGS:    5 10:58:56      -40.496841        0.142229
LBFGS:    6 10:58:56      -40.498571        0.114381
LBFGS:    7 10:58:56      -40.499890        0.117602
LBFGS:    8 10:58:56      -40.502530        0.118871
LBFGS:    9 10:58:57      -40.505078        0.080704
LBFGS:   10 10:58:57      -40.506383        0.027972
LBFGS:   11 10:58:57      -40.506603        0.017683
LBFGS:   12 10:58:57      -40.506622        0.012555
LBFGS:   13 10:58:57      -40.506632        0.012713
LBFGS:   14 10:58:57      -40.506667        0.013079
LBFGS:   15 10:58:57      -40.506731        0.013951
LBFGS:   16 10:58:57      -40.506840        0.014467
LBFGS:   17 10:58:57      -40.506938        0.009681
LBFGS:   18 10:58:57      -40.506976        0.004098
LBFGS:   19 10:58:57      -40.506981        0.000594
Optimized energy (eV): -40.50698100816132
