cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
       Step     Time          Energy          fmax
LBFGS:    0 08:57:20     -122.412529        0.045846
LBFGS:    1 08:57:21     -122.412656        0.042591
LBFGS:    2 08:57:21     -122.413387        0.041455
LBFGS:    3 08:57:22     -122.413482        0.045407
LBFGS:    4 08:57:22     -122.414911        0.079549
LBFGS:    5 08:57:22     -122.416295        0.084932
LBFGS:    6 08:57:22     -122.417788        0.068820
LBFGS:    7 08:57:23     -122.418548        0.059390
LBFGS:    8 08:57:23     -122.419032        0.057214
LBFGS:    9 08:57:23     -122.419547        0.059991
LBFGS:   10 08:57:24     -122.420297        0.058547
LBFGS:   11 08:57:24     -122.421036        0.059218
LBFGS:   12 08:57:24     -122.421560        0.067063
LBFGS:   13 08:57:24     -122.421975        0.071646
LBFGS:   14 08:57:25     -122.422605        0.065214
LBFGS:   15 08:57:25     -122.423582        0.067079
LBFGS:   16 08:57:25     -122.424624        0.062003
LBFGS:   17 08:57:25     -122.425244        0.043238
LBFGS:   18 08:57:26     -122.425528        0.037978
LBFGS:   19 08:57:26     -122.425818        0.034880
LBFGS:   20 08:57:26     -122.426284        0.037180
LBFGS:   21 08:57:26     -122.426816        0.031927
LBFGS:   22 08:57:27     -122.427209        0.038990
LBFGS:   23 08:57:27     -122.427445        0.040204
LBFGS:   24 08:57:27     -122.427682        0.034382
LBFGS:   25 08:57:27     -122.428046        0.034568
LBFGS:   26 08:57:28     -122.428472        0.031206
LBFGS:   27 08:57:28     -122.428772        0.033824
LBFGS:   28 08:57:28     -122.428921        0.034787
LBFGS:   29 08:57:28     -122.429039        0.029375
LBFGS:   30 08:57:29     -122.429230        0.024690
LBFGS:   31 08:57:29     -122.429480        0.026863
LBFGS:   32 08:57:29     -122.429688        0.030149
LBFGS:   33 08:57:29     -122.429805        0.031734
LBFGS:   34 08:57:30     -122.429894        0.027181
LBFGS:   35 08:57:30     -122.430025        0.016969
LBFGS:   36 08:57:30     -122.430200        0.018275
LBFGS:   37 08:57:31     -122.430347        0.021016
LBFGS:   38 08:57:31     -122.430427        0.022428
LBFGS:   39 08:57:31     -122.430484        0.019320
LBFGS:   40 08:57:31     -122.430567        0.011790
LBFGS:   41 08:57:32     -122.430685        0.014533
LBFGS:   42 08:57:32     -122.430799        0.014972
LBFGS:   43 08:57:32     -122.430868        0.018843
LBFGS:   44 08:57:32     -122.430914        0.017951
LBFGS:   45 08:57:33     -122.430974        0.013735
LBFGS:   46 08:57:33     -122.431063        0.015279
LBFGS:   47 08:57:33     -122.431153        0.013627
LBFGS:   48 08:57:33     -122.431211        0.018817
LBFGS:   49 08:57:34     -122.431248        0.018362
LBFGS:   50 08:57:34     -122.431293        0.014595
LBFGS:   51 08:57:34     -122.431362        0.011323
LBFGS:   52 08:57:34     -122.431438        0.012028
LBFGS:   53 08:57:35     -122.431489        0.016247
LBFGS:   54 08:57:35     -122.431517        0.015859
LBFGS:   55 08:57:35     -122.431547        0.012704
LBFGS:   56 08:57:36     -122.431590        0.010614
LBFGS:   57 08:57:36     -122.431634        0.009348
LBFGS:   58 08:57:36     -122.431660        0.009688
LBFGS:   59 08:57:36     -122.431673        0.008941
LBFGS:   60 08:57:37     -122.431683        0.006880
LBFGS:   61 08:57:37     -122.431698        0.004883
LBFGS:   62 08:57:37     -122.431713        0.004306
LBFGS:   63 08:57:37     -122.431721        0.004021
LBFGS:   64 08:57:38     -122.431725        0.004077
LBFGS:   65 08:57:38     -122.431730        0.004187
LBFGS:   66 08:57:38     -122.431738        0.005554
LBFGS:   67 08:57:38     -122.431749        0.005554
LBFGS:   68 08:57:39     -122.431760        0.006680
LBFGS:   69 08:57:39     -122.431769        0.008313
LBFGS:   70 08:57:39     -122.431781        0.008676
LBFGS:   71 08:57:39     -122.431805        0.007721
LBFGS:   72 08:57:40     -122.431850        0.008948
LBFGS:   73 08:57:40     -122.431925        0.012604
LBFGS:   74 08:57:40     -122.432013        0.019715
LBFGS:   75 08:57:40     -122.432094        0.023202
LBFGS:   76 08:57:41     -122.432173        0.022260
LBFGS:   77 08:57:41     -122.432281        0.016828
LBFGS:   78 08:57:41     -122.432424        0.015951
LBFGS:   79 08:57:41     -122.432546        0.010788
LBFGS:   80 08:57:42     -122.432600        0.010017
LBFGS:   81 08:57:42     -122.432617        0.008515
LBFGS:   82 08:57:42     -122.432630        0.006484
LBFGS:   83 08:57:42     -122.432643        0.003582
LBFGS:   84 08:57:43     -122.432651        0.001838
LBFGS:   85 08:57:43     -122.432653        0.001285
LBFGS:   86 08:57:43     -122.432653        0.001152
LBFGS:   87 08:57:44     -122.432654        0.000867
Optimized energy (eV): -122.43265369677843
