cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
       Step     Time          Energy          fmax
LBFGS:    0 21:25:48     -108.991447        0.276628
LBFGS:    1 21:25:49     -108.995231        0.259067
LBFGS:    2 21:25:49     -109.019920        0.066913
LBFGS:    3 21:25:50     -109.020268        0.058910
LBFGS:    4 21:25:50     -109.022684        0.041417
LBFGS:    5 21:25:50     -109.022808        0.041093
LBFGS:    6 21:25:50     -109.023148        0.040149
LBFGS:    7 21:25:51     -109.023683        0.038609
LBFGS:    8 21:25:51     -109.024702        0.042235
LBFGS:    9 21:25:51     -109.025828        0.048261
LBFGS:   10 21:25:52     -109.026735        0.070179
LBFGS:   11 21:25:52     -109.027420        0.077969
LBFGS:   12 21:25:52     -109.028347        0.076096
LBFGS:   13 21:25:52     -109.029880        0.060910
LBFGS:   14 21:25:53     -109.031735        0.041611
LBFGS:   15 21:25:53     -109.032952        0.038945
LBFGS:   16 21:25:53     -109.033342        0.041009
LBFGS:   17 21:25:53     -109.033497        0.036555
LBFGS:   18 21:25:54     -109.033717        0.026711
LBFGS:   19 21:25:54     -109.034026        0.022070
LBFGS:   20 21:25:54     -109.034305        0.024360
LBFGS:   21 21:25:54     -109.034451        0.026483
LBFGS:   22 21:25:55     -109.034534        0.024493
LBFGS:   23 21:25:55     -109.034657        0.019499
LBFGS:   24 21:25:55     -109.034894        0.021708
LBFGS:   25 21:25:55     -109.035243        0.021695
LBFGS:   26 21:25:56     -109.035553        0.019357
LBFGS:   27 21:25:56     -109.035701        0.021617
LBFGS:   28 21:25:56     -109.035773        0.018519
LBFGS:   29 21:25:56     -109.035859        0.012996
LBFGS:   30 21:25:57     -109.035984        0.009502
LBFGS:   31 21:25:57     -109.036097        0.009630
LBFGS:   32 21:25:57     -109.036148        0.009927
LBFGS:   33 21:25:57     -109.036166        0.008782
LBFGS:   34 21:25:58     -109.036182        0.006925
LBFGS:   35 21:25:58     -109.036214        0.008311
LBFGS:   36 21:25:58     -109.036253        0.008785
LBFGS:   37 21:25:58     -109.036283        0.006766
LBFGS:   38 21:25:59     -109.036297        0.006386
LBFGS:   39 21:25:59     -109.036306        0.006325
LBFGS:   40 21:25:59     -109.036323        0.007047
LBFGS:   41 21:25:59     -109.036351        0.007322
LBFGS:   42 21:26:00     -109.036385        0.008459
LBFGS:   43 21:26:00     -109.036410        0.010509
LBFGS:   44 21:26:00     -109.036426        0.010294
LBFGS:   45 21:26:00     -109.036444        0.008816
LBFGS:   46 21:26:01     -109.036478        0.006074
LBFGS:   47 21:26:01     -109.036537        0.007343
LBFGS:   48 21:26:01     -109.036608        0.008833
LBFGS:   49 21:26:01     -109.036661        0.011362
LBFGS:   50 21:26:02     -109.036696        0.010969
LBFGS:   51 21:26:02     -109.036737        0.012935
LBFGS:   52 21:26:02     -109.036814        0.014523
LBFGS:   53 21:26:02     -109.036938        0.013492
LBFGS:   54 21:26:03     -109.037066        0.010668
LBFGS:   55 21:26:03     -109.037135        0.012443
LBFGS:   56 21:26:03     -109.037160        0.010565
LBFGS:   57 21:26:04     -109.037179        0.007868
LBFGS:   58 21:26:04     -109.037210        0.006200
LBFGS:   59 21:26:04     -109.037241        0.004148
LBFGS:   60 21:26:04     -109.037257        0.002623
LBFGS:   61 21:26:05     -109.037261        0.001988
LBFGS:   62 21:26:05     -109.037261        0.001597
LBFGS:   63 21:26:05     -109.037261        0.001174
LBFGS:   64 21:26:05     -109.037262        0.000578
Optimized energy (eV): -109.03726184238502
