cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
       Step     Time          Energy          fmax
LBFGS:    0 11:34:45     -238.104651        0.926677
LBFGS:    1 11:34:46     -238.243850        0.897644
LBFGS:    2 11:34:46     -239.670046        0.334399
LBFGS:    3 11:34:47     -239.891330        0.508353
LBFGS:    4 11:34:47     -240.012643        0.445502
LBFGS:    5 11:34:48     -240.507462        0.212497
LBFGS:    6 11:34:48     -240.527878        0.174379
LBFGS:    7 11:34:49     -240.557623        0.162414
LBFGS:    8 11:34:49     -240.612500        0.176192
LBFGS:    9 11:34:50     -240.658094        0.111227
LBFGS:   10 11:34:50     -240.679092        0.092288
LBFGS:   11 11:34:51     -240.685011        0.071572
LBFGS:   12 11:34:51     -240.688765        0.060085
LBFGS:   13 11:34:51     -240.691925        0.061607
LBFGS:   14 11:34:52     -240.693788        0.046606
LBFGS:   15 11:34:52     -240.694789        0.030541
LBFGS:   16 11:34:53     -240.695826        0.027092
LBFGS:   17 11:34:53     -240.697500        0.021426
LBFGS:   18 11:34:53     -240.699308        0.021935
LBFGS:   19 11:34:54     -240.700339        0.018112
LBFGS:   20 11:34:54     -240.700651        0.016622
LBFGS:   21 11:34:55     -240.700784        0.013463
LBFGS:   22 11:34:55     -240.700954        0.006965
LBFGS:   23 11:34:56     -240.701118        0.006699
LBFGS:   24 11:34:56     -240.701202        0.007824
LBFGS:   25 11:34:56     -240.701230        0.008469
LBFGS:   26 11:34:57     -240.701251        0.007537
LBFGS:   27 11:34:57     -240.701285        0.005070
LBFGS:   28 11:34:58     -240.701321        0.003278
LBFGS:   29 11:34:58     -240.701341        0.002237
LBFGS:   30 11:34:59     -240.701346        0.001855
LBFGS:   31 11:34:59     -240.701347        0.001409
LBFGS:   32 11:34:59     -240.701348        0.000782
Optimized energy (eV): -240.70134783107207
--- 17.75685477256775 seconds ---
