cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
       Step     Time          Energy          fmax
LBFGS:    0 23:59:34    -6449.873350        0.543167
LBFGS:    1 23:59:52    -6450.309612        0.523841
LBFGS:    2 00:00:09    -6455.292208        0.481200
LBFGS:    3 00:00:26    -6455.688918        0.410625
LBFGS:    4 00:00:43    -6458.240319        0.191289
LBFGS:    5 00:01:01    -6459.098938        0.219528
LBFGS:    6 00:01:18    -6459.499103        0.242431
LBFGS:    7 00:01:35    -6459.983828        0.225206
LBFGS:    8 00:01:52    -6460.731914        0.151632
LBFGS:    9 00:02:09    -6461.471259        0.221866
LBFGS:   10 00:02:26    -6461.942534        0.224473
LBFGS:   11 00:02:43    -6462.268908        0.170950
LBFGS:   12 00:03:01    -6462.679674        0.130437
LBFGS:   13 00:03:18    -6463.218687        0.130950
LBFGS:   14 00:03:36    -6463.711442        0.172156
LBFGS:   15 00:03:53    -6464.030733        0.207218
LBFGS:   16 00:04:11    -6464.245579        0.175251
LBFGS:   17 00:04:28    -6464.464176        0.107502
LBFGS:   18 00:04:46    -6464.760268        0.108384
LBFGS:   19 00:05:04    -6465.030103        0.110503
LBFGS:   20 00:05:22    -6465.185831        0.110622
LBFGS:   21 00:05:39    -6465.291569        0.102338
LBFGS:   22 00:05:58    -6465.428941        0.092767
LBFGS:   23 00:06:16    -6465.604593        0.085309
LBFGS:   24 00:06:33    -6465.761979        0.096089
LBFGS:   25 00:06:53    -6465.861840        0.098741
LBFGS:   26 00:07:11    -6465.932503        0.093354
LBFGS:   27 00:07:31    -6466.023711        0.072985
LBFGS:   28 00:07:49    -6466.147981        0.079398
LBFGS:   29 00:08:07    -6466.255692        0.098506
LBFGS:   30 00:08:25    -6466.317408        0.088473
LBFGS:   31 00:08:42    -6466.364612        0.073849
LBFGS:   32 00:09:01    -6466.428655        0.058161
LBFGS:   33 00:09:19    -6466.504612        0.069254
LBFGS:   34 00:09:37    -6466.567401        0.063533
LBFGS:   35 00:09:55    -6466.608770        0.061621
LBFGS:   36 00:10:13    -6466.645631        0.056240
LBFGS:   37 00:10:32    -6466.700427        0.055117
LBFGS:   38 00:10:51    -6466.775026        0.073993
LBFGS:   39 00:11:10    -6466.839060        0.085273
LBFGS:   40 00:11:28    -6466.876026        0.080962
LBFGS:   41 00:11:45    -6466.904583        0.064849
LBFGS:   42 00:12:02    -6466.941361        0.044690
LBFGS:   43 00:12:20    -6466.983311        0.053845
LBFGS:   44 00:12:37    -6467.015282        0.051104
LBFGS:   45 00:12:54    -6467.033551        0.063160
LBFGS:   46 00:13:12    -6467.048985        0.061766
LBFGS:   47 00:13:29    -6467.072640        0.050523
LBFGS:   48 00:13:47    -6467.102451        0.046705
LBFGS:   49 00:14:06    -6467.125690        0.039458
LBFGS:   50 00:14:26    -6467.137859        0.025694
LBFGS:   51 00:14:45    -6467.147404        0.023256
LBFGS:   52 00:15:05    -6467.160849        0.027802
LBFGS:   53 00:15:24    -6467.176900        0.030097
LBFGS:   54 00:15:43    -6467.189671        0.029919
LBFGS:   55 00:16:03    -6467.197214        0.031689
LBFGS:   56 00:16:21    -6467.203384        0.028082
LBFGS:   57 00:16:39    -6467.211429        0.024070
LBFGS:   58 00:16:58    -6467.219468        0.022202
LBFGS:   59 00:17:17    -6467.224259        0.019147
LBFGS:   60 00:17:36    -6467.226636        0.020748
LBFGS:   61 00:17:53    -6467.228942        0.019579
LBFGS:   62 00:18:10    -6467.232349        0.016549
LBFGS:   63 00:18:28    -6467.235924        0.016078
LBFGS:   64 00:18:46    -6467.238182        0.013703
LBFGS:   65 00:19:03    -6467.239305        0.013464
LBFGS:   66 00:19:21    -6467.240338        0.012249
LBFGS:   67 00:19:38    -6467.241851        0.010779
LBFGS:   68 00:19:55    -6467.243400        0.010145
LBFGS:   69 00:20:13    -6467.244361        0.008126
LBFGS:   70 00:20:31    -6467.244860        0.008711
LBFGS:   71 00:20:49    -6467.245350        0.007869
LBFGS:   72 00:21:06    -6467.246020        0.006636
LBFGS:   73 00:21:23    -6467.246638        0.007282
LBFGS:   74 00:21:41    -6467.246981        0.005167
LBFGS:   75 00:21:59    -6467.247162        0.004810
LBFGS:   76 00:22:16    -6467.247366        0.004262
LBFGS:   77 00:22:33    -6467.247656        0.004187
LBFGS:   78 00:22:51    -6467.247922        0.003537
LBFGS:   79 00:23:08    -6467.248058        0.003092
LBFGS:   80 00:23:25    -6467.248120        0.003108
LBFGS:   81 00:23:43    -6467.248183        0.002759
LBFGS:   82 00:24:00    -6467.248274        0.002150
LBFGS:   83 00:24:17    -6467.248361        0.001732
LBFGS:   84 00:24:34    -6467.248414        0.001910
LBFGS:   85 00:24:51    -6467.248447        0.001855
LBFGS:   86 00:25:08    -6467.248485        0.001643
LBFGS:   87 00:25:25    -6467.248538        0.001769
LBFGS:   88 00:25:42    -6467.248583        0.001318
LBFGS:   89 00:25:58    -6467.248607        0.001056
LBFGS:   90 00:26:14    -6467.248620        0.000957
Optimized energy (eV): -6467.248620323531
--- 1620.0749793052673 seconds ---
