cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
       Step     Time          Energy          fmax
LBFGS:    0 14:58:14     -661.354483        0.542135
LBFGS:    1 14:58:16     -661.539498        0.515493
LBFGS:    2 14:58:18     -663.382474        1.342419
LBFGS:    3 14:58:19     -663.739968        0.745994
LBFGS:    4 14:58:21     -663.971631        0.616026
LBFGS:    5 14:58:23     -665.101122        0.224703
LBFGS:    6 14:58:24     -665.176136        0.210634
LBFGS:    7 14:58:26     -665.561560        0.235651
LBFGS:    8 14:58:27     -665.621283        0.222560
LBFGS:    9 14:58:29     -665.693749        0.153165
LBFGS:   10 14:58:31     -665.734844        0.127688
LBFGS:   11 14:58:32     -665.848144        0.147117
LBFGS:   12 14:58:34     -665.932733        0.179004
LBFGS:   13 14:58:36     -665.981222        0.176856
LBFGS:   14 14:58:37     -666.004426        0.152320
LBFGS:   15 14:58:39     -666.026464        0.110116
LBFGS:   16 14:58:41     -666.049781        0.057808
LBFGS:   17 14:58:42     -666.067745        0.049362
LBFGS:   18 14:58:44     -666.075407        0.037443
LBFGS:   19 14:58:46     -666.079137        0.036298
LBFGS:   20 14:58:47     -666.083235        0.028080
LBFGS:   21 14:58:49     -666.087156        0.021583
LBFGS:   22 14:58:51     -666.089415        0.020000
LBFGS:   23 14:58:52     -666.090526        0.019580
LBFGS:   24 14:58:54     -666.091616        0.017541
LBFGS:   25 14:58:55     -666.093031        0.012611
LBFGS:   26 14:58:57     -666.094139        0.012850
LBFGS:   27 14:58:59     -666.094592        0.011621
LBFGS:   28 14:59:00     -666.094767        0.010692
LBFGS:   29 14:59:02     -666.094983        0.010451
LBFGS:   30 14:59:04     -666.095367        0.008610
LBFGS:   31 14:59:05     -666.095825        0.006391
LBFGS:   32 14:59:07     -666.096122        0.005415
LBFGS:   33 14:59:09     -666.096221        0.004646
LBFGS:   34 14:59:10     -666.096262        0.004513
LBFGS:   35 14:59:12     -666.096307        0.005058
LBFGS:   36 14:59:13     -666.096349        0.004556
LBFGS:   37 14:59:15     -666.096373        0.003979
LBFGS:   38 14:59:17     -666.096385        0.003818
LBFGS:   39 14:59:18     -666.096397        0.003483
LBFGS:   40 14:59:20     -666.096413        0.002767
LBFGS:   41 14:59:22     -666.096427        0.003107
LBFGS:   42 14:59:23     -666.096433        0.003154
LBFGS:   43 14:59:25     -666.096436        0.002635
LBFGS:   44 14:59:27     -666.096439        0.001839
LBFGS:   45 14:59:28     -666.096443        0.000756
Optimized energy (eV): -666.0964432547568
--- 78.58550691604614 seconds ---
