cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
       Step     Time          Energy          fmax
LBFGS:    0 21:23:38      -24.598647        0.277083
LBFGS:    1 21:23:38      -24.603316        0.258840
LBFGS:    2 21:23:39      -24.640561        0.161254
LBFGS:    3 21:23:39      -24.641466        0.158678
LBFGS:    4 21:23:39      -24.656824        0.104895
LBFGS:    5 21:23:39      -24.657826        0.112900
LBFGS:    6 21:23:39      -24.660267        0.119626
LBFGS:    7 21:23:39      -24.662528        0.099093
LBFGS:    8 21:23:39      -24.665191        0.061995
LBFGS:    9 21:23:39      -24.666248        0.057368
LBFGS:   10 21:23:39      -24.666490        0.047706
LBFGS:   11 21:23:39      -24.666618        0.039168
LBFGS:   12 21:23:40      -24.666880        0.022901
LBFGS:   13 21:23:40      -24.667108        0.021047
LBFGS:   14 21:23:40      -24.667226        0.014051
LBFGS:   15 21:23:40      -24.667260        0.014928
LBFGS:   16 21:23:40      -24.667284        0.017484
LBFGS:   17 21:23:40      -24.667335        0.019705
LBFGS:   18 21:23:40      -24.667426        0.019108
LBFGS:   19 21:23:40      -24.667534        0.012713
LBFGS:   20 21:23:40      -24.667593        0.004705
LBFGS:   21 21:23:40      -24.667605        0.003954
LBFGS:   22 21:23:40      -24.667606        0.003778
LBFGS:   23 21:23:41      -24.667606        0.003705
LBFGS:   24 21:23:41      -24.667608        0.003482
LBFGS:   25 21:23:41      -24.667613        0.003065
LBFGS:   26 21:23:41      -24.667622        0.003189
LBFGS:   27 21:23:41      -24.667636        0.003604
LBFGS:   28 21:23:41      -24.667648        0.002402
LBFGS:   29 21:23:41      -24.667652        0.000701
Optimized energy (eV): -24.667652038921652
