cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
       Step     Time          Energy          fmax
LBFGS:    0 10:49:28     -451.001140        0.258614
LBFGS:    1 10:49:29     -451.003795        0.235972
LBFGS:    2 10:49:30     -451.017266        0.072116
LBFGS:    3 10:49:30     -451.017659        0.069268
LBFGS:    4 10:49:31     -451.019690        0.077418
LBFGS:    5 10:49:31     -451.020896        0.072771
LBFGS:    6 10:49:32     -451.021660        0.048366
LBFGS:    7 10:49:32     -451.022002        0.047778
LBFGS:    8 10:49:33     -451.022409        0.046316
LBFGS:    9 10:49:33     -451.022937        0.038181
LBFGS:   10 10:49:34     -451.023438        0.036213
LBFGS:   11 10:49:34     -451.023744        0.034256
LBFGS:   12 10:49:35     -451.023970        0.037928
LBFGS:   13 10:49:36     -451.024275        0.032569
LBFGS:   14 10:49:36     -451.024690        0.026633
LBFGS:   15 10:49:37     -451.025074        0.028987
LBFGS:   16 10:49:37     -451.025313        0.026618
LBFGS:   17 10:49:38     -451.025485        0.023959
LBFGS:   18 10:49:38     -451.025728        0.029519
LBFGS:   19 10:49:39     -451.026102        0.029690
LBFGS:   20 10:49:39     -451.026497        0.025602
LBFGS:   21 10:49:40     -451.026755        0.022664
LBFGS:   22 10:49:41     -451.026921        0.022856
LBFGS:   23 10:49:41     -451.027127        0.027132
LBFGS:   24 10:49:42     -451.027472        0.033603
LBFGS:   25 10:49:42     -451.027914        0.029424
LBFGS:   26 10:49:43     -451.028270        0.024594
LBFGS:   27 10:49:43     -451.028472        0.024869
LBFGS:   28 10:49:44     -451.028641        0.022959
LBFGS:   29 10:49:44     -451.028926        0.024675
LBFGS:   30 10:49:45     -451.029359        0.034618
LBFGS:   31 10:49:46     -451.029798        0.030476
LBFGS:   32 10:49:46     -451.030067        0.023415
LBFGS:   33 10:49:47     -451.030235        0.021494
LBFGS:   34 10:49:47     -451.030448        0.021179
LBFGS:   35 10:49:48     -451.030803        0.027909
LBFGS:   36 10:49:48     -451.031233        0.025785
LBFGS:   37 10:49:49     -451.031555        0.019626
LBFGS:   38 10:49:49     -451.031730        0.022168
LBFGS:   39 10:49:50     -451.031885        0.020301
LBFGS:   40 10:49:51     -451.032144        0.026460
LBFGS:   41 10:49:51     -451.032500        0.031167
LBFGS:   42 10:49:52     -451.032814        0.022504
LBFGS:   43 10:49:52     -451.032987        0.019874
LBFGS:   44 10:49:53     -451.033106        0.018909
LBFGS:   45 10:49:53     -451.033276        0.017373
LBFGS:   46 10:49:54     -451.033531        0.020935
LBFGS:   47 10:49:55     -451.033789        0.016771
LBFGS:   48 10:49:55     -451.033946        0.015655
LBFGS:   49 10:49:56     -451.034036        0.013636
LBFGS:   50 10:49:56     -451.034142        0.015906
LBFGS:   51 10:49:57     -451.034312        0.021950
LBFGS:   52 10:49:57     -451.034501        0.019873
LBFGS:   53 10:49:58     -451.034628        0.013377
LBFGS:   54 10:49:58     -451.034698        0.013523
LBFGS:   55 10:49:59     -451.034766        0.012332
LBFGS:   56 10:50:00     -451.034879        0.013474
LBFGS:   57 10:50:00     -451.035021        0.013726
LBFGS:   58 10:50:01     -451.035135        0.012528
LBFGS:   59 10:50:01     -451.035199        0.011322
LBFGS:   60 10:50:02     -451.035253        0.010253
LBFGS:   61 10:50:02     -451.035338        0.015030
LBFGS:   62 10:50:03     -451.035458        0.016906
LBFGS:   63 10:50:03     -451.035564        0.011704
LBFGS:   64 10:50:04     -451.035621        0.010145
LBFGS:   65 10:50:05     -451.035657        0.008695
LBFGS:   66 10:50:05     -451.035703        0.007750
LBFGS:   67 10:50:06     -451.035763        0.008864
LBFGS:   68 10:50:06     -451.035812        0.006479
LBFGS:   69 10:50:07     -451.035835        0.006420
LBFGS:   70 10:50:07     -451.035845        0.005629
LBFGS:   71 10:50:08     -451.035859        0.006078
LBFGS:   72 10:50:08     -451.035878        0.007169
LBFGS:   73 10:50:09     -451.035897        0.005676
LBFGS:   74 10:50:09     -451.035909        0.005267
LBFGS:   75 10:50:10     -451.035918        0.005084
LBFGS:   76 10:50:11     -451.035932        0.004873
LBFGS:   77 10:50:11     -451.035960        0.006932
LBFGS:   78 10:50:12     -451.036008        0.008045
LBFGS:   79 10:50:12     -451.036067        0.007962
LBFGS:   80 10:50:13     -451.036120        0.010078
LBFGS:   81 10:50:13     -451.036171        0.010966
LBFGS:   82 10:50:14     -451.036243        0.011661
LBFGS:   83 10:50:14     -451.036361        0.015424
LBFGS:   84 10:50:15     -451.036505        0.014486
LBFGS:   85 10:50:15     -451.036605        0.008553
LBFGS:   86 10:50:16     -451.036645        0.008540
LBFGS:   87 10:50:16     -451.036665        0.007355
