cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
       Step     Time          Energy          fmax
LBFGS:    0 22:35:02     -294.500943        0.194081
LBFGS:    1 22:35:02     -294.502964        0.165008
LBFGS:    2 22:35:03     -294.508606        0.051156
LBFGS:    3 22:35:03     -294.508720        0.043910
LBFGS:    4 22:35:04     -294.509063        0.013219
LBFGS:    5 22:35:04     -294.509071        0.013164
LBFGS:    6 22:35:05     -294.509138        0.012310
LBFGS:    7 22:35:05     -294.509148        0.012126
LBFGS:    8 22:35:05     -294.509225        0.018142
LBFGS:    9 22:35:06     -294.509312        0.020383
LBFGS:   10 22:35:06     -294.509428        0.016899
LBFGS:   11 22:35:07     -294.509496        0.019460
LBFGS:   12 22:35:07     -294.509533        0.017387
LBFGS:   13 22:35:08     -294.509564        0.012645
LBFGS:   14 22:35:08     -294.509598        0.008917
LBFGS:   15 22:35:09     -294.509621        0.008100
LBFGS:   16 22:35:09     -294.509631        0.007196
LBFGS:   17 22:35:09     -294.509637        0.006170
LBFGS:   18 22:35:10     -294.509647        0.006333
LBFGS:   19 22:35:10     -294.509662        0.006196
LBFGS:   20 22:35:11     -294.509677        0.007138
LBFGS:   21 22:35:11     -294.509687        0.007850
LBFGS:   22 22:35:11     -294.509694        0.007030
LBFGS:   23 22:35:12     -294.509702        0.004917
LBFGS:   24 22:35:12     -294.509715        0.005566
LBFGS:   25 22:35:13     -294.509729        0.005077
LBFGS:   26 22:35:13     -294.509740        0.005920
LBFGS:   27 22:35:14     -294.509749        0.006023
LBFGS:   28 22:35:14     -294.509763        0.007366
LBFGS:   29 22:35:14     -294.509787        0.009294
LBFGS:   30 22:35:15     -294.509817        0.008454
LBFGS:   31 22:35:15     -294.509842        0.008189
LBFGS:   32 22:35:16     -294.509858        0.008960
LBFGS:   33 22:35:16     -294.509874        0.007863
LBFGS:   34 22:35:17     -294.509897        0.006435
LBFGS:   35 22:35:17     -294.509927        0.006034
LBFGS:   36 22:35:17     -294.509953        0.007096
LBFGS:   37 22:35:18     -294.509969        0.007420
LBFGS:   38 22:35:18     -294.509982        0.006279
LBFGS:   39 22:35:19     -294.509999        0.005427
LBFGS:   40 22:35:19     -294.510017        0.004607
LBFGS:   41 22:35:19     -294.510027        0.003078
LBFGS:   42 22:35:20     -294.510031        0.003354
LBFGS:   43 22:35:20     -294.510033        0.002898
LBFGS:   44 22:35:21     -294.510037        0.002772
LBFGS:   45 22:35:21     -294.510041        0.002784
LBFGS:   46 22:35:22     -294.510043        0.002813
LBFGS:   47 22:35:22     -294.510045        0.003029
LBFGS:   48 22:35:22     -294.510047        0.002751
LBFGS:   49 22:35:23     -294.510052        0.003354
LBFGS:   50 22:35:23     -294.510059        0.004355
LBFGS:   51 22:35:24     -294.510067        0.005686
LBFGS:   52 22:35:24     -294.510074        0.006976
LBFGS:   53 22:35:24     -294.510080        0.006718
LBFGS:   54 22:35:25     -294.510088        0.005059
LBFGS:   55 22:35:25     -294.510098        0.003293
LBFGS:   56 22:35:26     -294.510106        0.002993
LBFGS:   57 22:35:26     -294.510110        0.003060
LBFGS:   58 22:35:27     -294.510111        0.002541
LBFGS:   59 22:35:27     -294.510113        0.002642
LBFGS:   60 22:35:27     -294.510116        0.002979
LBFGS:   61 22:35:28     -294.510119        0.002728
LBFGS:   62 22:35:28     -294.510123        0.004631
LBFGS:   63 22:35:29     -294.510127        0.005739
LBFGS:   64 22:35:29     -294.510134        0.006147
LBFGS:   65 22:35:30     -294.510146        0.005566
LBFGS:   66 22:35:30     -294.510161        0.004603
LBFGS:   67 22:35:30     -294.510172        0.003687
LBFGS:   68 22:35:31     -294.510177        0.003905
LBFGS:   69 22:35:31     -294.510178        0.003348
LBFGS:   70 22:35:32     -294.510180        0.002241
LBFGS:   71 22:35:32     -294.510182        0.001038
LBFGS:   72 22:35:33     -294.510182        0.000473
Optimized energy (eV): -294.5101822686686
