cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
       Step     Time          Energy          fmax
LBFGS:    0 22:36:31     -175.443509        0.167678
LBFGS:    1 22:36:32     -175.444609        0.140431
LBFGS:    2 22:36:32     -175.447038        0.039784
LBFGS:    3 22:36:33     -175.447163        0.043667
LBFGS:    4 22:36:33     -175.447538        0.035571
LBFGS:    5 22:36:33     -175.447656        0.018116
LBFGS:    6 22:36:34     -175.447714        0.021103
LBFGS:    7 22:36:34     -175.447749        0.019288
LBFGS:    8 22:36:34     -175.447804        0.012849
LBFGS:    9 22:36:34     -175.447847        0.010609
LBFGS:   10 22:36:35     -175.447870        0.011212
LBFGS:   11 22:36:35     -175.447881        0.009938
LBFGS:   12 22:36:35     -175.447895        0.008257
LBFGS:   13 22:36:36     -175.447911        0.008855
LBFGS:   14 22:36:36     -175.447923        0.005419
LBFGS:   15 22:36:36     -175.447929        0.004712
LBFGS:   16 22:36:36     -175.447933        0.003947
LBFGS:   17 22:36:37     -175.447938        0.003894
LBFGS:   18 22:36:37     -175.447944        0.003847
LBFGS:   19 22:36:37     -175.447948        0.002791
LBFGS:   20 22:36:37     -175.447950        0.002494
LBFGS:   21 22:36:38     -175.447952        0.002344
LBFGS:   22 22:36:38     -175.447954        0.003187
LBFGS:   23 22:36:38     -175.447956        0.002618
LBFGS:   24 22:36:39     -175.447957        0.001899
LBFGS:   25 22:36:39     -175.447958        0.001792
LBFGS:   26 22:36:39     -175.447959        0.001541
LBFGS:   27 22:36:39     -175.447960        0.001597
LBFGS:   28 22:36:40     -175.447961        0.001012
LBFGS:   29 22:36:40     -175.447961        0.000792
Optimized energy (eV): -175.4479609212285
