cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
       Step     Time          Energy          fmax
LBFGS:    0 08:05:50     -113.142258        0.086758
LBFGS:    1 08:05:51     -113.142687        0.078020
LBFGS:    2 08:05:51     -113.144382        0.035313
LBFGS:    3 08:05:51     -113.144448        0.035287
LBFGS:    4 08:05:52     -113.145159        0.034643
LBFGS:    5 08:05:52     -113.145234        0.035169
LBFGS:    6 08:05:52     -113.146391        0.045510
LBFGS:    7 08:05:53     -113.146819        0.050372
LBFGS:    8 08:05:53     -113.147207        0.072784
LBFGS:    9 08:05:53     -113.147617        0.082695
LBFGS:   10 08:05:53     -113.148480        0.083501
LBFGS:   11 08:05:54     -113.149520        0.061779
LBFGS:   12 08:05:54     -113.150360        0.074548
LBFGS:   13 08:05:54     -113.150823        0.080122
LBFGS:   14 08:05:54     -113.151206        0.071461
LBFGS:   15 08:05:55     -113.151729        0.049523
LBFGS:   16 08:05:55     -113.152316        0.038259
LBFGS:   17 08:05:55     -113.152700        0.048258
LBFGS:   18 08:05:56     -113.152875        0.045735
LBFGS:   19 08:05:56     -113.152996        0.037529
LBFGS:   20 08:05:56     -113.153165        0.021888
LBFGS:   21 08:05:56     -113.153338        0.021071
LBFGS:   22 08:05:57     -113.153439        0.023344
LBFGS:   23 08:05:57     -113.153484        0.021658
LBFGS:   24 08:05:57     -113.153522        0.017558
LBFGS:   25 08:05:57     -113.153576        0.013402
LBFGS:   26 08:05:58     -113.153630        0.011828
LBFGS:   27 08:05:58     -113.153662        0.011394
LBFGS:   28 08:05:58     -113.153679        0.010060
LBFGS:   29 08:05:58     -113.153696        0.008553
LBFGS:   30 08:05:59     -113.153723        0.007894
LBFGS:   31 08:05:59     -113.153751        0.006679
LBFGS:   32 08:05:59     -113.153770        0.008138
LBFGS:   33 08:05:59     -113.153782        0.008478
LBFGS:   34 08:06:00     -113.153796        0.007962
LBFGS:   35 08:06:00     -113.153818        0.010800
LBFGS:   36 08:06:00     -113.153845        0.010561
LBFGS:   37 08:06:01     -113.153868        0.009200
LBFGS:   38 08:06:01     -113.153884        0.009421
LBFGS:   39 08:06:01     -113.153901        0.008620
LBFGS:   40 08:06:01     -113.153931        0.008444
LBFGS:   41 08:06:02     -113.153976        0.010560
LBFGS:   42 08:06:02     -113.154028        0.012534
LBFGS:   43 08:06:02     -113.154072        0.014029
LBFGS:   44 08:06:02     -113.154118        0.015826
LBFGS:   45 08:06:03     -113.154193        0.017455
LBFGS:   46 08:06:03     -113.154327        0.023597
LBFGS:   47 08:06:03     -113.154516        0.024003
LBFGS:   48 08:06:03     -113.154687        0.019739
LBFGS:   49 08:06:04     -113.154788        0.016907
LBFGS:   50 08:06:04     -113.154851        0.012939
LBFGS:   51 08:06:04     -113.154913        0.010229
LBFGS:   52 08:06:05     -113.154960        0.007420
LBFGS:   53 08:06:05     -113.154977        0.003377
LBFGS:   54 08:06:05     -113.154980        0.002718
LBFGS:   55 08:06:05     -113.154980        0.002002
LBFGS:   56 08:06:06     -113.154981        0.001747
LBFGS:   57 08:06:06     -113.154983        0.001799
LBFGS:   58 08:06:06     -113.154984        0.002615
LBFGS:   59 08:06:06     -113.154985        0.002950
LBFGS:   60 08:06:07     -113.154986        0.003071
LBFGS:   61 08:06:07     -113.154989        0.003415
LBFGS:   62 08:06:07     -113.154994        0.003019
LBFGS:   63 08:06:08     -113.154997        0.001706
LBFGS:   64 08:06:08     -113.154999        0.000554
Optimized energy (eV): -113.15499864660465
