cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
       Step     Time          Energy          fmax
LBFGS:    0 08:29:27     -146.127043        0.034750
LBFGS:    1 08:29:28     -146.127103        0.030269
LBFGS:    2 08:29:28     -146.127373        0.024077
LBFGS:    3 08:29:28     -146.127400        0.023936
LBFGS:    4 08:29:29     -146.127767        0.028046
LBFGS:    5 08:29:29     -146.127879        0.023955
LBFGS:    6 08:29:29     -146.127968        0.019962
LBFGS:    7 08:29:30     -146.128060        0.023175
LBFGS:    8 08:29:30     -146.128261        0.026842
LBFGS:    9 08:29:31     -146.128511        0.026399
LBFGS:   10 08:29:31     -146.128718        0.026843
LBFGS:   11 08:29:31     -146.128816        0.030733
LBFGS:   12 08:29:32     -146.128876        0.027714
LBFGS:   13 08:29:32     -146.128947        0.019757
LBFGS:   14 08:29:32     -146.129022        0.014774
LBFGS:   15 08:29:33     -146.129069        0.013897
LBFGS:   16 08:29:33     -146.129091        0.013991
LBFGS:   17 08:29:34     -146.129109        0.011736
LBFGS:   18 08:29:34     -146.129132        0.007962
LBFGS:   19 08:29:34     -146.129152        0.007690
LBFGS:   20 08:29:35     -146.129163        0.007447
LBFGS:   21 08:29:35     -146.129168        0.007140
LBFGS:   22 08:29:35     -146.129175        0.006121
LBFGS:   23 08:29:36     -146.129186        0.007641
LBFGS:   24 08:29:36     -146.129198        0.006847
LBFGS:   25 08:29:36     -146.129207        0.007276
LBFGS:   26 08:29:37     -146.129213        0.007127
LBFGS:   27 08:29:37     -146.129220        0.005894
LBFGS:   28 08:29:37     -146.129231        0.006553
LBFGS:   29 08:29:38     -146.129248        0.007267
LBFGS:   30 08:29:38     -146.129266        0.007424
LBFGS:   31 08:29:39     -146.129280        0.008148
LBFGS:   32 08:29:39     -146.129293        0.008190
LBFGS:   33 08:29:39     -146.129312        0.008569
LBFGS:   34 08:29:40     -146.129338        0.009941
LBFGS:   35 08:29:40     -146.129366        0.008201
LBFGS:   36 08:29:40     -146.129386        0.009578
LBFGS:   37 08:29:41     -146.129402        0.009812
LBFGS:   38 08:29:41     -146.129423        0.009493
LBFGS:   39 08:29:41     -146.129453        0.009182
LBFGS:   40 08:29:42     -146.129481        0.008686
LBFGS:   41 08:29:42     -146.129499        0.009210
LBFGS:   42 08:29:43     -146.129510        0.008774
LBFGS:   43 08:29:43     -146.129523        0.007523
LBFGS:   44 08:29:43     -146.129543        0.007689
LBFGS:   45 08:29:44     -146.129565        0.006650
LBFGS:   46 08:29:44     -146.129579        0.007552
LBFGS:   47 08:29:44     -146.129588        0.007260
LBFGS:   48 08:29:45     -146.129598        0.006000
LBFGS:   49 08:29:45     -146.129615        0.006408
LBFGS:   50 08:29:45     -146.129635        0.005825
LBFGS:   51 08:29:46     -146.129651        0.006825
LBFGS:   52 08:29:46     -146.129663        0.007251
LBFGS:   53 08:29:46     -146.129678        0.006711
LBFGS:   54 08:29:47     -146.129702        0.007997
LBFGS:   55 08:29:47     -146.129735        0.009567
LBFGS:   56 08:29:47     -146.129768        0.009546
LBFGS:   57 08:29:48     -146.129796        0.010061
LBFGS:   58 08:29:48     -146.129827        0.010179
LBFGS:   59 08:29:48     -146.129879        0.012321
LBFGS:   60 08:29:49     -146.129960        0.014598
LBFGS:   61 08:29:49     -146.130046        0.012372
LBFGS:   62 08:29:49     -146.130101        0.011558
LBFGS:   63 08:29:50     -146.130128        0.010019
LBFGS:   64 08:29:50     -146.130151        0.007787
LBFGS:   65 08:29:51     -146.130175        0.006358
LBFGS:   66 08:29:51     -146.130189        0.003439
LBFGS:   67 08:29:51     -146.130193        0.002100
LBFGS:   68 08:29:52     -146.130194        0.001459
LBFGS:   69 08:29:52     -146.130194        0.000902
Optimized energy (eV): -146.13019445269632
