cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
       Step     Time          Energy          fmax
LBFGS:    0 08:00:07     -170.329755        0.086758
LBFGS:    1 08:00:07     -170.330170        0.078003
LBFGS:    2 08:00:08     -170.331728        0.028241
LBFGS:    3 08:00:09     -170.331775        0.025274
LBFGS:    4 08:00:09     -170.332150        0.023579
LBFGS:    5 08:00:09     -170.332181        0.023542
LBFGS:    6 08:00:10     -170.332612        0.022690
LBFGS:    7 08:00:10     -170.332723        0.030077
LBFGS:    8 08:00:11     -170.332851        0.041956
LBFGS:    9 08:00:11     -170.333026        0.048993
LBFGS:   10 08:00:11     -170.333391        0.050805
LBFGS:   11 08:00:12     -170.333837        0.038346
LBFGS:   12 08:00:12     -170.334220        0.057880
LBFGS:   13 08:00:13     -170.334484        0.064155
LBFGS:   14 08:00:13     -170.334776        0.060105
LBFGS:   15 08:00:14     -170.335224        0.044674
LBFGS:   16 08:00:14     -170.335788        0.042174
LBFGS:   17 08:00:15     -170.336237        0.056076
LBFGS:   18 08:00:15     -170.336489        0.055525
LBFGS:   19 08:00:15     -170.336679        0.046690
LBFGS:   20 08:00:16     -170.336945        0.029635
LBFGS:   21 08:00:16     -170.337255        0.029463
LBFGS:   22 08:00:17     -170.337470        0.032749
LBFGS:   23 08:00:17     -170.337572        0.031143
LBFGS:   24 08:00:18     -170.337646        0.025960
LBFGS:   25 08:00:18     -170.337748        0.015771
LBFGS:   26 08:00:18     -170.337859        0.016731
LBFGS:   27 08:00:19     -170.337931        0.016362
LBFGS:   28 08:00:19     -170.337964        0.014673
LBFGS:   29 08:00:20     -170.337990        0.011830
LBFGS:   30 08:00:20     -170.338029        0.010532
LBFGS:   31 08:00:21     -170.338069        0.008920
LBFGS:   32 08:00:21     -170.338093        0.008446
LBFGS:   33 08:00:21     -170.338106        0.008732
LBFGS:   34 08:00:22     -170.338117        0.008128
LBFGS:   35 08:00:22     -170.338134        0.007314
LBFGS:   36 08:00:23     -170.338152        0.006628
LBFGS:   37 08:00:23     -170.338164        0.006562
LBFGS:   38 08:00:24     -170.338170        0.006484
LBFGS:   39 08:00:24     -170.338177        0.005737
LBFGS:   40 08:00:24     -170.338188        0.004722
LBFGS:   41 08:00:25     -170.338200        0.004895
LBFGS:   42 08:00:25     -170.338209        0.005246
LBFGS:   43 08:00:26     -170.338214        0.004981
LBFGS:   44 08:00:26     -170.338220        0.004581
LBFGS:   45 08:00:26     -170.338230        0.006492
LBFGS:   46 08:00:27     -170.338242        0.006691
LBFGS:   47 08:00:27     -170.338253        0.004900
LBFGS:   48 08:00:28     -170.338261        0.005454
LBFGS:   49 08:00:28     -170.338268        0.005512
LBFGS:   50 08:00:29     -170.338279        0.005183
LBFGS:   51 08:00:29     -170.338296        0.005699
LBFGS:   52 08:00:29     -170.338314        0.006329
LBFGS:   53 08:00:30     -170.338326        0.006865
LBFGS:   54 08:00:30     -170.338336        0.006710
LBFGS:   55 08:00:31     -170.338351        0.007220
LBFGS:   56 08:00:31     -170.338374        0.009034
LBFGS:   57 08:00:31     -170.338399        0.007704
LBFGS:   58 08:00:32     -170.338419        0.007251
LBFGS:   59 08:00:32     -170.338432        0.007259
LBFGS:   60 08:00:33     -170.338448        0.007384
LBFGS:   61 08:00:33     -170.338473        0.007228
LBFGS:   62 08:00:34     -170.338503        0.006867
LBFGS:   63 08:00:34     -170.338526        0.008001
LBFGS:   64 08:00:34     -170.338542        0.008331
LBFGS:   65 08:00:35     -170.338558        0.008156
LBFGS:   66 08:00:35     -170.338585        0.008637
LBFGS:   67 08:00:36     -170.338624        0.009157
LBFGS:   68 08:00:36     -170.338661        0.009762
LBFGS:   69 08:00:37     -170.338689        0.010086
LBFGS:   70 08:00:37     -170.338715        0.009807
LBFGS:   71 08:00:37     -170.338755        0.010013
LBFGS:   72 08:00:38     -170.338814        0.011426
LBFGS:   73 08:00:38     -170.338871        0.009001
LBFGS:   74 08:00:39     -170.338903        0.007877
LBFGS:   75 08:00:39     -170.338919        0.007032
LBFGS:   76 08:00:39     -170.338933        0.005097
LBFGS:   77 08:00:40     -170.338949        0.003909
LBFGS:   78 08:00:40     -170.338958        0.003147
LBFGS:   79 08:00:41     -170.338961        0.003061
LBFGS:   80 08:00:41     -170.338963        0.002727
LBFGS:   81 08:00:41     -170.338966        0.003130
LBFGS:   82 08:00:42     -170.338970        0.003832
LBFGS:   83 08:00:42     -170.338977        0.004198
LBFGS:   84 08:00:43     -170.338983        0.005286
LBFGS:   85 08:00:43     -170.338991        0.005478
LBFGS:   86 08:00:43     -170.339004        0.005135
LBFGS:   87 08:00:44     -170.339025        0.005494
LBFGS:   88 08:00:44     -170.339053        0.006358
LBFGS:   89 08:00:45     -170.339074        0.003969
LBFGS:   90 08:00:45     -170.339080        0.002041
LBFGS:   91 08:00:45     -170.339082        0.001617
LBFGS:   92 08:00:46     -170.339082        0.001115
LBFGS:   93 08:00:46     -170.339083        0.000521
Optimized energy (eV): -170.3390827845875
