cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
       Step     Time          Energy          fmax
LBFGS:    0 12:40:22     -661.354483        0.542135
LBFGS:    1 12:40:24     -661.539498        0.515493
LBFGS:    2 12:40:26     -663.382474        1.342419
LBFGS:    3 12:40:27     -663.739968        0.745994
LBFGS:    4 12:40:29     -663.971631        0.616026
LBFGS:    5 12:40:31     -665.101122        0.224703
LBFGS:    6 12:40:33     -665.176136        0.210634
LBFGS:    7 12:40:34     -665.561560        0.235651
LBFGS:    8 12:40:36     -665.621283        0.222560
LBFGS:    9 12:40:38     -665.693749        0.153165
LBFGS:   10 12:40:40     -665.734844        0.127688
LBFGS:   11 12:40:41     -665.848144        0.147117
LBFGS:   12 12:40:43     -665.932733        0.179004
LBFGS:   13 12:40:45     -665.981222        0.176856
LBFGS:   14 12:40:47     -666.004426        0.152320
LBFGS:   15 12:40:48     -666.026464        0.110116
LBFGS:   16 12:40:50     -666.049781        0.057808
LBFGS:   17 12:40:52     -666.067745        0.049362
LBFGS:   18 12:40:54     -666.075407        0.037443
LBFGS:   19 12:40:55     -666.079137        0.036298
LBFGS:   20 12:40:57     -666.083235        0.028080
LBFGS:   21 12:40:59     -666.087156        0.021583
LBFGS:   22 12:41:00     -666.089415        0.020000
LBFGS:   23 12:41:02     -666.090526        0.019580
LBFGS:   24 12:41:04     -666.091616        0.017541
LBFGS:   25 12:41:05     -666.093031        0.012611
LBFGS:   26 12:41:07     -666.094139        0.012850
LBFGS:   27 12:41:09     -666.094592        0.011621
LBFGS:   28 12:41:11     -666.094767        0.010692
