cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
       Step     Time          Energy          fmax
LBFGS:    0 12:01:23      -16.781200        0.061991
LBFGS:    1 12:01:23      -16.781313        0.054846
LBFGS:    2 12:01:23      -16.781726        0.003155
LBFGS:    3 12:01:23      -16.781727        0.001169
LBFGS:    4 12:01:24      -16.781727        0.001161
LBFGS:    5 12:01:24      -16.781727        0.001235
LBFGS:    6 12:01:24      -16.781728        0.001172
LBFGS:    7 12:01:24      -16.781728        0.001044
LBFGS:    8 12:01:24      -16.781728        0.000732
Optimized energy (eV): -16.78172808158395
