cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
       Step     Time          Energy          fmax
LBFGS:    0 11:00:54     -317.379242        0.248765
LBFGS:    1 11:00:55     -317.382107        0.228164
LBFGS:    2 11:00:56     -317.397766        0.079705
LBFGS:    3 11:00:56     -317.398214        0.076317
LBFGS:    4 11:00:56     -317.401018        0.046675
LBFGS:    5 11:00:57     -317.401459        0.041314
LBFGS:    6 11:00:57     -317.401726        0.036347
LBFGS:    7 11:00:57     -317.401994        0.035959
LBFGS:    8 11:00:58     -317.402465        0.037184
LBFGS:    9 11:00:58     -317.402840        0.028052
LBFGS:   10 11:00:58     -317.403043        0.034614
LBFGS:   11 11:00:59     -317.403155        0.031020
LBFGS:   12 11:00:59     -317.403302        0.021437
LBFGS:   13 11:00:59     -317.403508        0.020768
LBFGS:   14 11:01:00     -317.403706        0.023280
LBFGS:   15 11:01:00     -317.403828        0.027096
LBFGS:   16 11:01:00     -317.403909        0.024708
LBFGS:   17 11:01:01     -317.404010        0.017830
LBFGS:   18 11:01:01     -317.404147        0.018532
LBFGS:   19 11:01:01     -317.404277        0.018181
LBFGS:   20 11:01:02     -317.404361        0.019630
LBFGS:   21 11:01:02     -317.404424        0.017892
LBFGS:   22 11:01:02     -317.404507        0.014844
LBFGS:   23 11:01:03     -317.404616        0.014608
LBFGS:   24 11:01:03     -317.404713        0.015753
LBFGS:   25 11:01:03     -317.404772        0.014762
LBFGS:   26 11:01:04     -317.404816        0.012273
LBFGS:   27 11:01:04     -317.404877        0.011846
LBFGS:   28 11:01:04     -317.404961        0.011723
LBFGS:   29 11:01:05     -317.405035        0.010132
LBFGS:   30 11:01:05     -317.405078        0.011215
LBFGS:   31 11:01:05     -317.405108        0.011173
LBFGS:   32 11:01:06     -317.405148        0.010702
LBFGS:   33 11:01:06     -317.405205        0.010293
LBFGS:   34 11:01:06     -317.405260        0.009032
LBFGS:   35 11:01:07     -317.405293        0.011101
LBFGS:   36 11:01:07     -317.405315        0.009944
LBFGS:   37 11:01:07     -317.405342        0.007843
LBFGS:   38 11:01:08     -317.405382        0.008261
LBFGS:   39 11:01:08     -317.405422        0.008013
LBFGS:   40 11:01:08     -317.405450        0.010582
LBFGS:   41 11:01:09     -317.405468        0.009995
LBFGS:   42 11:01:09     -317.405491        0.007352
LBFGS:   43 11:01:09     -317.405524        0.007380
LBFGS:   44 11:01:09     -317.405559        0.007305
LBFGS:   45 11:01:10     -317.405585        0.008943
LBFGS:   46 11:01:10     -317.405604        0.008900
LBFGS:   47 11:01:10     -317.405627        0.007636
LBFGS:   48 11:01:11     -317.405662        0.008622
LBFGS:   49 11:01:11     -317.405698        0.006579
LBFGS:   50 11:01:11     -317.405721        0.007863
LBFGS:   51 11:01:12     -317.405735        0.007177
LBFGS:   52 11:01:12     -317.405750        0.006130
LBFGS:   53 11:01:12     -317.405768        0.005435
LBFGS:   54 11:01:13     -317.405784        0.004200
LBFGS:   55 11:01:13     -317.405792        0.004346
LBFGS:   56 11:01:13     -317.405796        0.003790
LBFGS:   57 11:01:14     -317.405802        0.004122
LBFGS:   58 11:01:14     -317.405813        0.005068
LBFGS:   59 11:01:14     -317.405827        0.005309
LBFGS:   60 11:01:15     -317.405842        0.006786
LBFGS:   61 11:01:15     -317.405856        0.007695
LBFGS:   62 11:01:15     -317.405875        0.008141
LBFGS:   63 11:01:16     -317.405907        0.008073
LBFGS:   64 11:01:16     -317.405955        0.009042
LBFGS:   65 11:01:16     -317.406000        0.006776
LBFGS:   66 11:01:17     -317.406024        0.007583
LBFGS:   67 11:01:17     -317.406035        0.006504
LBFGS:   68 11:01:17     -317.406044        0.004915
LBFGS:   69 11:01:18     -317.406053        0.004991
LBFGS:   70 11:01:18     -317.406059        0.005187
LBFGS:   71 11:01:18     -317.406063        0.005369
LBFGS:   72 11:01:19     -317.406068        0.005510
LBFGS:   73 11:01:19     -317.406076        0.005638
LBFGS:   74 11:01:19     -317.406094        0.005638
LBFGS:   75 11:01:20     -317.406125        0.006968
LBFGS:   76 11:01:20     -317.406165        0.010414
LBFGS:   77 11:01:20     -317.406200        0.011762
LBFGS:   78 11:01:21     -317.406228        0.010270
LBFGS:   79 11:01:21     -317.406255        0.006520
LBFGS:   80 11:01:21     -317.406280        0.005028
LBFGS:   81 11:01:22     -317.406292        0.003273
LBFGS:   82 11:01:22     -317.406296        0.002987
LBFGS:   83 11:01:22     -317.406297        0.002992
LBFGS:   84 11:01:23     -317.406298        0.002995
LBFGS:   85 11:01:23     -317.406302        0.002998
LBFGS:   86 11:01:23     -317.406307        0.003842
LBFGS:   87 11:01:24     -317.406314        0.005830
LBFGS:   88 11:01:24     -317.406324        0.008101
LBFGS:   89 11:01:24     -317.406343        0.009973
LBFGS:   90 11:01:25     -317.406380        0.012782
LBFGS:   91 11:01:25     -317.406461        0.016684
LBFGS:   92 11:01:25     -317.406609        0.019687
LBFGS:   93 11:01:26     -317.406795        0.018217
LBFGS:   94 11:01:26     -317.406914        0.011556
LBFGS:   95 11:01:26     -317.406945        0.005873
LBFGS:   96 11:01:27     -317.406949        0.003692
LBFGS:   97 11:01:27     -317.406951        0.002397
LBFGS:   98 11:01:27     -317.406952        0.000763
Optimized energy (eV): -317.40695191364773
