cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
       Step     Time          Energy          fmax
LBFGS:    0 16:01:31     -607.934811        1.232310
LBFGS:    1 16:01:32     -608.584570        0.933804
LBFGS:    2 16:01:32     -610.096950        0.670204
LBFGS:    3 16:01:33     -610.263795        0.686991
LBFGS:    4 16:01:34     -610.717526        0.605351
LBFGS:    5 16:01:34     -611.087510        0.525643
LBFGS:    6 16:01:35     -611.417865        0.602623
LBFGS:    7 16:01:35     -611.661633        0.703475
LBFGS:    8 16:01:36     -612.055408        0.758338
LBFGS:    9 16:01:36     -612.430883        0.601576
LBFGS:   10 16:01:37     -612.656502        0.341168
LBFGS:   11 16:01:37     -612.762955        0.330185
LBFGS:   12 16:01:38     -612.856553        0.524998
LBFGS:   13 16:01:38     -613.034097        0.716099
LBFGS:   14 16:01:39     -613.316724        0.745263
LBFGS:   15 16:01:39     -613.612403        0.754419
LBFGS:   16 16:01:40     -613.774301        0.584841
LBFGS:   17 16:01:40     -613.909125        0.354015
LBFGS:   18 16:01:41     -614.027889        0.476847
LBFGS:   19 16:01:41     -614.141605        0.502469
LBFGS:   20 16:01:42     -614.249077        0.424451
LBFGS:   21 16:01:43     -614.349235        0.438614
LBFGS:   22 16:01:43     -614.460037        0.477188
LBFGS:   23 16:01:43     -614.586313        0.395299
LBFGS:   24 16:01:44     -614.705898        0.344748
LBFGS:   25 16:01:45     -614.785196        0.298069
LBFGS:   26 16:01:45     -614.844412        0.296450
LBFGS:   27 16:01:45     -614.928399        0.343844
LBFGS:   28 16:01:46     -615.065303        0.420646
LBFGS:   29 16:01:47     -615.250400        0.459540
LBFGS:   30 16:01:47     -615.425121        0.599317
LBFGS:   31 16:01:47     -615.557674        0.533339
LBFGS:   32 16:01:48     -615.705046        0.475850
LBFGS:   33 16:01:49     -615.857906        0.461958
LBFGS:   34 16:01:49     -615.999872        0.399030
LBFGS:   35 16:01:50     -616.106668        0.440734
LBFGS:   36 16:01:50     -616.225008        0.358819
LBFGS:   37 16:01:51     -616.329952        0.310935
LBFGS:   38 16:01:51     -616.441411        0.267403
LBFGS:   39 16:01:52     -616.523502        0.318480
LBFGS:   40 16:01:52     -616.572108        0.286076
LBFGS:   41 16:01:53     -616.606636        0.239561
LBFGS:   42 16:01:53     -616.645319        0.150749
LBFGS:   43 16:01:54     -616.675640        0.104413
LBFGS:   44 16:01:54     -616.688607        0.075641
LBFGS:   45 16:01:55     -616.692253        0.088601
LBFGS:   46 16:01:55     -616.695121        0.077902
LBFGS:   47 16:01:56     -616.698501        0.055589
LBFGS:   48 16:01:56     -616.700368        0.043069
LBFGS:   49 16:01:57     -616.700946        0.023297
LBFGS:   50 16:01:57     -616.701157        0.014797
LBFGS:   51 16:01:58     -616.701349        0.010264
LBFGS:   52 16:01:58     -616.701482        0.006860
LBFGS:   53 16:01:59     -616.701536        0.005342
LBFGS:   54 16:01:59     -616.701561        0.005149
LBFGS:   55 16:02:00     -616.701585        0.005271
LBFGS:   56 16:02:00     -616.701608        0.004340
LBFGS:   57 16:02:01     -616.701621        0.002431
LBFGS:   58 16:02:01     -616.701626        0.001738
LBFGS:   59 16:02:02     -616.701629        0.001455
LBFGS:   60 16:02:02     -616.701631        0.001038
LBFGS:   61 16:02:03     -616.701632        0.000864
Optimized energy (eV): -616.7016323829772
