cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
       Step     Time          Energy          fmax
LBFGS:    0 07:38:51     -515.816551        0.933039
LBFGS:    1 07:38:52     -515.847105        0.862907
LBFGS:    2 07:38:52     -516.007604        0.197815
LBFGS:    3 07:38:53     -516.011351        0.182605
LBFGS:    4 07:38:54     -516.027497        0.078524
LBFGS:    5 07:38:54     -516.027978        0.076055
LBFGS:    6 07:38:55     -516.030239        0.037046
LBFGS:    7 07:38:55     -516.030593        0.049768
LBFGS:    8 07:38:56     -516.030830        0.050613
LBFGS:    9 07:38:57     -516.031059        0.040743
LBFGS:   10 07:38:57     -516.031348        0.022017
LBFGS:   11 07:38:58     -516.031517        0.025211
LBFGS:   12 07:38:58     -516.031609        0.021774
LBFGS:   13 07:38:59     -516.031699        0.020862
LBFGS:   14 07:38:59     -516.031841        0.021547
LBFGS:   15 07:39:00     -516.031999        0.021945
LBFGS:   16 07:39:00     -516.032110        0.023455
LBFGS:   17 07:39:01     -516.032169        0.019503
LBFGS:   18 07:39:02     -516.032224        0.013378
LBFGS:   19 07:39:02     -516.032306        0.014583
LBFGS:   20 07:39:03     -516.032396        0.011484
LBFGS:   21 07:39:03     -516.032454        0.013734
LBFGS:   22 07:39:04     -516.032480        0.012317
LBFGS:   23 07:39:04     -516.032500        0.009412
LBFGS:   24 07:39:05     -516.032533        0.008579
LBFGS:   25 07:39:05     -516.032574        0.007891
LBFGS:   26 07:39:06     -516.032606        0.007130
LBFGS:   27 07:39:07     -516.032622        0.007358
LBFGS:   28 07:39:07     -516.032636        0.005764
LBFGS:   29 07:39:08     -516.032656        0.005070
LBFGS:   30 07:39:08     -516.032681        0.004971
LBFGS:   31 07:39:09     -516.032699        0.004743
LBFGS:   32 07:39:09     -516.032708        0.004653
LBFGS:   33 07:39:10     -516.032713        0.004601
LBFGS:   34 07:39:10     -516.032721        0.004512
LBFGS:   35 07:39:11     -516.032734        0.004342
LBFGS:   36 07:39:11     -516.032747        0.004116
LBFGS:   37 07:39:12     -516.032756        0.005191
LBFGS:   38 07:39:12     -516.032764        0.005310
LBFGS:   39 07:39:13     -516.032778        0.005619
LBFGS:   40 07:39:14     -516.032804        0.007894
LBFGS:   41 07:39:14     -516.032849        0.009599
LBFGS:   42 07:39:15     -516.032907        0.010425
LBFGS:   43 07:39:15     -516.032959        0.014322
LBFGS:   44 07:39:16     -516.033003        0.015317
LBFGS:   45 07:39:16     -516.033059        0.014166
LBFGS:   46 07:39:17     -516.033146        0.014382
LBFGS:   47 07:39:17     -516.033247        0.012213
LBFGS:   48 07:39:18     -516.033313        0.010220
LBFGS:   49 07:39:18     -516.033339        0.009770
LBFGS:   50 07:39:19     -516.033353        0.008336
LBFGS:   51 07:39:19     -516.033374        0.006863
LBFGS:   52 07:39:20     -516.033399        0.006985
LBFGS:   53 07:39:20     -516.033417        0.007139
LBFGS:   54 07:39:21     -516.033428        0.007228
LBFGS:   55 07:39:21     -516.033437        0.007252
LBFGS:   56 07:39:22     -516.033454        0.007202
LBFGS:   57 07:39:22     -516.033484        0.006989
LBFGS:   58 07:39:23     -516.033522        0.009034
LBFGS:   59 07:39:24     -516.033556        0.013062
LBFGS:   60 07:39:24     -516.033586        0.014337
LBFGS:   61 07:39:25     -516.033625        0.013446
LBFGS:   62 07:39:25     -516.033695        0.011250
LBFGS:   63 07:39:26     -516.033799        0.012396
LBFGS:   64 07:39:26     -516.033897        0.011818
LBFGS:   65 07:39:27     -516.033949        0.012805
LBFGS:   66 07:39:27     -516.033972        0.011298
LBFGS:   67 07:39:28     -516.033995        0.008267
LBFGS:   68 07:39:28     -516.034022        0.005858
LBFGS:   69 07:39:29     -516.034040        0.003255
LBFGS:   70 07:39:30     -516.034046        0.002464
LBFGS:   71 07:39:30     -516.034047        0.001808
LBFGS:   72 07:39:30     -516.034048        0.001364
LBFGS:   73 07:39:31     -516.034049        0.001019
LBFGS:   74 07:39:32     -516.034050        0.000796
Optimized energy (eV): -516.0340500758987
