cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
       Step     Time          Energy          fmax
LBFGS:    0 22:55:26     -142.073400        0.197063
LBFGS:    1 22:55:27     -142.075060        0.155308
LBFGS:    2 22:55:27     -142.077850        0.026603
LBFGS:    3 22:55:27     -142.077897        0.026485
LBFGS:    4 22:55:28     -142.078115        0.025276
LBFGS:    5 22:55:28     -142.078148        0.024910
LBFGS:    6 22:55:28     -142.078447        0.033576
LBFGS:    7 22:55:28     -142.078602        0.033152
LBFGS:    8 22:55:29     -142.078743        0.025211
LBFGS:    9 22:55:29     -142.078848        0.035476
LBFGS:   10 22:55:29     -142.078991        0.038717
LBFGS:   11 22:55:29     -142.079108        0.029084
LBFGS:   12 22:55:30     -142.079173        0.019587
LBFGS:   13 22:55:30     -142.079206        0.022146
LBFGS:   14 22:55:30     -142.079239        0.019635
LBFGS:   15 22:55:30     -142.079273        0.012563
LBFGS:   16 22:55:31     -142.079297        0.013049
LBFGS:   17 22:55:31     -142.079310        0.013711
LBFGS:   18 22:55:31     -142.079321        0.011511
LBFGS:   19 22:55:31     -142.079335        0.006921
LBFGS:   20 22:55:32     -142.079349        0.009029
LBFGS:   21 22:55:32     -142.079361        0.010566
LBFGS:   22 22:55:32     -142.079370        0.009677
LBFGS:   23 22:55:32     -142.079381        0.007603
LBFGS:   24 22:55:33     -142.079398        0.009694
LBFGS:   25 22:55:33     -142.079417        0.009885
LBFGS:   26 22:55:33     -142.079435        0.010090
LBFGS:   27 22:55:33     -142.079452        0.011160
LBFGS:   28 22:55:34     -142.079475        0.010004
LBFGS:   29 22:55:34     -142.079509        0.011900
LBFGS:   30 22:55:34     -142.079549        0.011754
LBFGS:   31 22:55:34     -142.079586        0.015890
LBFGS:   32 22:55:35     -142.079621        0.015838
LBFGS:   33 22:55:35     -142.079666        0.014408
LBFGS:   34 22:55:35     -142.079726        0.013796
LBFGS:   35 22:55:35     -142.079789        0.015857
LBFGS:   36 22:55:36     -142.079837        0.015819
LBFGS:   37 22:55:36     -142.079873        0.013795
LBFGS:   38 22:55:36     -142.079910        0.010275
LBFGS:   39 22:55:36     -142.079947        0.010316
LBFGS:   40 22:55:37     -142.079971        0.008693
LBFGS:   41 22:55:37     -142.079982        0.008573
LBFGS:   42 22:55:37     -142.079988        0.006486
LBFGS:   43 22:55:37     -142.079996        0.004336
LBFGS:   44 22:55:38     -142.080003        0.004863
LBFGS:   45 22:55:38     -142.080009        0.006397
LBFGS:   46 22:55:38     -142.080016        0.006831
LBFGS:   47 22:55:38     -142.080027        0.007410
LBFGS:   48 22:55:39     -142.080043        0.007032
LBFGS:   49 22:55:39     -142.080055        0.004743
LBFGS:   50 22:55:39     -142.080060        0.002106
LBFGS:   51 22:55:39     -142.080061        0.001467
LBFGS:   52 22:55:40     -142.080061        0.000916
Optimized energy (eV): -142.08006105110738
