cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using head Default out of ['Default']
       Step     Time          Energy          fmax
LBFGS:    0 23:02:30     -188.057692        0.937035
LBFGS:    1 23:02:31     -188.095441        0.814952
LBFGS:    2 23:02:31     -188.172568        0.424895
LBFGS:    3 23:02:31     -188.180433        0.141642
LBFGS:    4 23:02:32     -188.182547        0.133289
LBFGS:    5 23:02:32     -188.193206        0.111285
LBFGS:    6 23:02:32     -188.193692        0.090550
LBFGS:    7 23:02:32     -188.195713        0.048080
LBFGS:    8 23:02:33     -188.196931        0.046366
LBFGS:    9 23:02:33     -188.197566        0.054612
LBFGS:   10 23:02:33     -188.197951        0.059301
LBFGS:   11 23:02:33     -188.198477        0.052666
LBFGS:   12 23:02:33     -188.199259        0.040477
LBFGS:   13 23:02:34     -188.200011        0.038382
LBFGS:   14 23:02:34     -188.200458        0.041175
LBFGS:   15 23:02:34     -188.200771        0.042281
LBFGS:   16 23:02:34     -188.201212        0.037958
LBFGS:   17 23:02:35     -188.201855        0.034699
LBFGS:   18 23:02:35     -188.202506        0.037622
LBFGS:   19 23:02:35     -188.202929        0.037756
LBFGS:   20 23:02:35     -188.203189        0.033329
LBFGS:   21 23:02:35     -188.203487        0.030244
LBFGS:   22 23:02:36     -188.203939        0.032054
LBFGS:   23 23:02:36     -188.204382        0.025790
LBFGS:   24 23:02:36     -188.204632        0.028207
LBFGS:   25 23:02:36     -188.204761        0.027070
LBFGS:   26 23:02:37     -188.204903        0.023310
LBFGS:   27 23:02:37     -188.205122        0.021803
LBFGS:   28 23:02:37     -188.205368        0.020917
LBFGS:   29 23:02:37     -188.205552        0.025019
LBFGS:   30 23:02:38     -188.205674        0.025876
LBFGS:   31 23:02:38     -188.205822        0.024552
LBFGS:   32 23:02:38     -188.206083        0.025905
LBFGS:   33 23:02:38     -188.206441        0.030489
LBFGS:   34 23:02:38     -188.206723        0.021725
LBFGS:   35 23:02:39     -188.206839        0.015164
LBFGS:   36 23:02:39     -188.206887        0.013199
LBFGS:   37 23:02:39     -188.206935        0.014204
LBFGS:   38 23:02:39     -188.206990        0.014534
LBFGS:   39 23:02:39     -188.207030        0.010399
LBFGS:   40 23:02:40     -188.207053        0.008236
LBFGS:   41 23:02:40     -188.207076        0.010064
LBFGS:   42 23:02:40     -188.207129        0.016137
LBFGS:   43 23:02:40     -188.207252        0.024293
LBFGS:   44 23:02:41     -188.207514        0.032887
LBFGS:   45 23:02:41     -188.207933        0.034807
LBFGS:   46 23:02:41     -188.208327        0.022720
LBFGS:   47 23:02:41     -188.208498        0.012039
LBFGS:   48 23:02:41     -188.208538        0.009818
LBFGS:   49 23:02:42     -188.208554        0.007144
LBFGS:   50 23:02:42     -188.208569        0.003498
LBFGS:   51 23:02:42     -188.208576        0.001635
LBFGS:   52 23:02:42     -188.208577        0.000269
Optimized energy (eV): -188.20857731709887
